Geo Point;Geo Shape;objectid;shape_leng;insee;nomcom;numdep;fusioinsee;nomcomto;st_areasha;st_lengths
48.6753515056,2.04828313772;"{""coordinates"": [[[2.066511580703986, 48.686899239571446], [2.068271578379628, 48.67733311016708], [2.055361177000532, 48.672428043751296], [2.051973961269219, 48.662983039280874], [2.042071987087785, 48.66386637824301], [2.028902045077204, 48.663741819935744], [2.033637154412816, 48.67866758234979], [2.03762929282701, 48.680220071285774], [2.042551609691257, 48.6806914703136], [2.045836488373521, 48.68678058220345], [2.055658738541029, 48.68678680606562], [2.066511580703986, 48.686899239571446]]], ""type"": ""Polygon""}";196;9595.98399845;91093;Boullay-les-Troux;91;;Boullay-les-Troux;4915096.5;9595.983998479978
48.7150535859,2.59164264543;"{""coordinates"": [[[2.574345135090998, 48.701000314185784], [2.568804056428984, 48.70722262807699], [2.568123667533024, 48.70897409747579], [2.580405740364425, 48.72298629932138], [2.594679183112778, 48.73180512040084], [2.600915707459338, 48.72702316188198], [2.609143437774431, 48.7284894838209], [2.615185820575829, 48.71660955857371], [2.59486950236924, 48.70200721684023], [2.574345135090998, 48.701000314185784]]], ""type"": ""Polygon""}";201;10685.6945456;77450;Servon;77;;Servon;7256354.0;10685.694545580509
48.4167324924,2.05158821673;"{""coordinates"": [[[2.050594006500691, 48.38511866264328], [2.045567328376062, 48.38447547257946], [2.027657489935221, 48.396836241090185], [2.001713279162817, 48.39560393750238], [2.005404289715569, 48.40117731643887], [2.020537159864052, 48.41497909810597], [2.017462878491294, 48.43483734438714], [2.02088949974803, 48.43742083280579], [2.038487964945082, 48.445877957119286], [2.051643425535984, 48.44677553855286], [2.063366858899247, 48.443062932785004], [2.075893259525821, 48.43204088044896], [2.106493061036837, 48.42777676967244], [2.108390984222614, 48.42108827018704], [2.092161361216157, 48.41302974141072], [2.076934914211517, 48.41199450825488], [2.071615030046242, 48.3925909735412], [2.050594006500691, 48.38511866264328]]], ""type"": ""Polygon""}";213;24128.3518256;91130;Chalo-Saint-Mars;91;;Chalo-Saint-Mars;29288524.5;24128.351825571277
48.7571343016,2.32612839743;"{""coordinates"": [[[2.330750483500388, 48.74810233118568], [2.323849274495557, 48.75062685168061], [2.320718017523031, 48.74875623508063], [2.309882294588435, 48.754594416901554], [2.315871175227345, 48.76677119559082], [2.332675007950558, 48.7645997054987], [2.343896032244972, 48.756207242885424], [2.335589241480805, 48.74835421422896], [2.330750483500388, 48.74810233118568]]], ""type"": ""Polygon""}";216;7267.73362113;94034;Fresnes;94;;Fresnes;3442102.5;7267.733621122029
48.907688244,2.43863982727;"{""coordinates"": [[[2.427724040274502, 48.89588763313303], [2.414487867030025, 48.90489768763191], [2.410056995679754, 48.91669277060016], [2.413493843691985, 48.91926364381446], [2.456591346840313, 48.91097752401837], [2.475214378256837, 48.916411353749744], [2.46986140521808, 48.904768868997856], [2.441283286623537, 48.898280874118626], [2.427724040274502, 48.89588763313303]]], ""type"": ""Polygon""}";219;12507.8151788;93008;Bobigny;93;;Bobigny;6967287.0;12507.815178790606
48.8187519127,2.95160900564;"{""coordinates"": [[[2.955292228172884, 48.7831570808439], [2.939659026244442, 48.77942677003401], [2.936349678368928, 48.78142168105787], [2.935450876001752, 48.803905508830546], [2.930632298045048, 48.80303042677072], [2.932940411322897, 48.81860862452209], [2.931097911901314, 48.82159342105502], [2.917677044565318, 48.825047425365966], [2.918545972612742, 48.83555234172206], [2.954656917230749, 48.840805616501], [2.96220138702548, 48.845808522747724], [2.9728975499384, 48.84633303504474], [2.987956887387658, 48.835858264211765], [2.983178900031269, 48.82396838074538], [2.973645437624181, 48.822455755388674], [2.965097812301924, 48.81395469086817], [2.961000216379607, 48.793960579465825], [2.952986335632211, 48.78965869304807], [2.955292228172884, 48.7831570808439]]], ""type"": ""Polygon""}";223;21603.1530201;77219;Guérard;77;;Guérard;19298775.5;21603.15302015013
48.8560825982,2.31243868773;"{""coordinates"": [[[2.316633528047581, 48.84675871366722], [2.307341120736736, 48.84770356794503], [2.289783728076369, 48.85812314611536], [2.301556199832536, 48.86348063063823], [2.320781393695372, 48.86307865626878], [2.332852282604382, 48.85930633356469], [2.329309953608924, 48.852838166117515], [2.316633528047581, 48.84675871366722]]], ""type"": ""Polygon""}";224;7777.65830163;75107;Paris 7e  Arrondissement;75;;Paris 7ème;3860700.5;7777.658301635499
48.5324483364,2.92730889492;"{""coordinates"": [[[2.913260099277886, 48.491653857375276], [2.899936991687075, 48.501673863553776], [2.90177213259862, 48.504796972300326], [2.911298745430428, 48.507026447972336], [2.913739294255895, 48.51301048534385], [2.893754941051109, 48.5129673126101], [2.883704540962379, 48.51478405587305], [2.880898364671379, 48.52820297127043], [2.886411523642549, 48.53401959150271], [2.905462233504422, 48.53797636725169], [2.902578410749004, 48.54446888341721], [2.913201962303148, 48.551358729874686], [2.93610725420656, 48.557022433753865], [2.939674455405102, 48.5659298196274], [2.954094312848986, 48.56685379249095], [2.958354684259101, 48.56109826660774], [2.97127140658769, 48.558070607179566], [2.96371493632485, 48.53110873339658], [2.947985168242414, 48.52237703601116], [2.933608372527516, 48.51857365892106], [2.927303007455925, 48.50537307940348], [2.928891381685554, 48.50207254753768], [2.939085907273534, 48.50091773896938], [2.920304259082103, 48.49632769698114], [2.913260099277886, 48.491653857375276]]], ""type"": ""Polygon""}";233;27360.5645304;77191;Fontenailles;77;;Fontenailles;27422357.5;27360.564530419673
49.149355833,1.87860817105;"{""coordinates"": [[[1.882251199605861, 49.13781130696031], [1.874490227012864, 49.13990597469075], [1.866687712946618, 49.13823221982353], [1.858215721199422, 49.14022023659256], [1.857520794368242, 49.143144943781756], [1.872974364247953, 49.159817233532074], [1.882430109489557, 49.1612810823877], [1.89202688177217, 49.161945237311606], [1.895355416515463, 49.15952114493675], [1.89356194532222, 49.14400319701722], [1.882251199605861, 49.13781130696031]]], ""type"": ""Polygon""}";249;8948.9284098;95054;Le Bellay-en-Vexin;95;;Bellay-en-Vexin (le);5180114.5;8948.928409814607
48.3501033292,2.13743376012;"{""coordinates"": [[[2.131374915156194, 48.323430702844455], [2.118765923125059, 48.323895380677875], [2.119967989396257, 48.32785429711376], [2.131710685297319, 48.36197862712032], [2.127348534817014, 48.375073747834705], [2.147547987175889, 48.37781197719456], [2.148449701475899, 48.368830141753406], [2.152642446912628, 48.367573576103325], [2.145898593433603, 48.362945498406475], [2.156030599314885, 48.34828031915893], [2.15617153889229, 48.34706666386154], [2.131374915156194, 48.323430702844455]]], ""type"": ""Polygon""}";250;15487.6395734;91544;Saint-Cyr-la-Rivière;91;;Saint-Cyr-la-Rivière;9169024.0;15487.639573432607
